spot_id,x,y
A0_T0,50,50
A0_T1,50,70
A0_T2,50,90
A0_T3,50,110
A0_T4,50,130
A0_T5,30,130
A0_T6,10,130
A0_T7,-10,130
A0_T8,-30,130
A0_T9,-50,130
A0_T10,-50,110
A0_T11,-50,90
A0_T12,-50,70
A0_T13,-50,50
A0_H0,0,130
A0_H1,0,110
A0_H2,0,90
A0_H3,0,70
A1_T0,150,50
A1_T1,150,70
A1_T2,150,90
A1_T3,150,110
A1_T4,150,130
A1_T5,130,130
A1_T6,110,130
A1_T7,90,130
A1_T8,70,130
A1_T9,50,130
A1_T10,50,110
A1_T11,50,90
A1_T12,50,70
A1_T13,50,50
A1_H0,100,130
A1_H1,100,110
A1_H2,100,90
A1_H3,100,70
A2_T0,250,50
A2_T1,250,70
A2_T2,250,90
A2_T3,250,110
A2_T4,250,130
A2_T5,230,130
A2_T6,210,130
A2_T7,190,130
A2_T8,170,130
A2_T9,150,130
A2_T10,150,110
A2_T11,150,90
A2_T12,150,70
A2_T13,150,50
A2_H0,200,130
A2_H1,200,110
A2_H2,200,90
A2_H3,200,70
A3_T0,350,50
A3_T1,350,70
A3_T2,350,90
A3_T3,350,110
A3_T4,350,130
A3_T5,330,130
A3_T6,310,130
A3_T7,290,130
A3_T8,270,130
A3_T9,250,130
A3_T10,250,110
A3_T11,250,90
A3_T12,250,70
A3_T13,250,50
A3_H0,300,130
A3_H1,300,110
A3_H2,300,90
A3_H3,300,70
CENTER,0,0
